Group,Species,Measure,Year,Value
SALMON (Wild),Chinook ,HARVEST (000 Tonnes) ,2014,2.4
SALMON (Wild),Chinook ,HARVEST (000 Tonnes) ,2015,1.5
SALMON (Wild),Chinook ,HARVEST (000 Tonnes) ,2016,1.7
SALMON (Wild),Chinook ,LANDED VALUE ($ Millions) ,2014,18.7
SALMON (Wild),Chinook ,LANDED VALUE ($ Millions) ,2015,17
SALMON (Wild),Chinook ,LANDED VALUE ($ Millions) ,2016,21.5
SALMON (Wild),Chinook ,WHOLESALE VALUE ($ Millions),2014,25
SALMON (Wild),Chinook ,WHOLESALE VALUE ($ Millions),2015,25
SALMON (Wild),Chinook ,WHOLESALE VALUE ($ Millions),2016,26.6
SALMON (Wild),Chum ,HARVEST (000 Tonnes) ,2014,4.5
SALMON (Wild),Chum ,HARVEST (000 Tonnes) ,2015,11.4
SALMON (Wild),Chum ,HARVEST (000 Tonnes) ,2016,15.9
SALMON (Wild),Chum ,LANDED VALUE ($ Millions) ,2014,8.9
SALMON (Wild),Chum ,LANDED VALUE ($ Millions) ,2015,18.9
SALMON (Wild),Chum ,LANDED VALUE ($ Millions) ,2016,30.2
SALMON (Wild),Chum ,WHOLESALE VALUE ($ Millions),2014,23.3
SALMON (Wild),Chum ,WHOLESALE VALUE ($ Millions),2015,30.3
SALMON (Wild),Chum ,WHOLESALE VALUE ($ Millions),2016,53.2
SALMON (Wild),Coho ,HARVEST (000 Tonnes) ,2014,0.9
SALMON (Wild),Coho ,HARVEST (000 Tonnes) ,2015,0.9
SALMON (Wild),Coho ,HARVEST (000 Tonnes) ,2016,1
SALMON (Wild),Coho ,LANDED VALUE ($ Millions) ,2014,3.3
SALMON (Wild),Coho ,LANDED VALUE ($ Millions) ,2015,4.3
SALMON (Wild),Coho ,LANDED VALUE ($ Millions) ,2016,5.1
SALMON (Wild),Coho ,WHOLESALE VALUE ($ Millions),2014,23.1
SALMON (Wild),Coho ,WHOLESALE VALUE ($ Millions),2015,22.8
SALMON (Wild),Coho ,WHOLESALE VALUE ($ Millions),2016,28
SALMON (Wild),Pink ,HARVEST (000 Tonnes) ,2014,6.7
SALMON (Wild),Pink ,HARVEST (000 Tonnes) ,2015,2.6
SALMON (Wild),Pink ,HARVEST (000 Tonnes) ,2016,3.5
SALMON (Wild),Pink ,LANDED VALUE ($ Millions) ,2014,4.6
SALMON (Wild),Pink ,LANDED VALUE ($ Millions) ,2015,1.6
SALMON (Wild),Pink ,LANDED VALUE ($ Millions) ,2016,2.8
SALMON (Wild),Pink ,WHOLESALE VALUE ($ Millions),2014,24.8
SALMON (Wild),Pink ,WHOLESALE VALUE ($ Millions),2015,11.9
SALMON (Wild),Pink ,WHOLESALE VALUE ($ Millions),2016,12.2
SALMON (Wild),Sockeye ,HARVEST (000 Tonnes) ,2014,28.1
SALMON (Wild),Sockeye ,HARVEST (000 Tonnes) ,2015,4.4
SALMON (Wild),Sockeye ,HARVEST (000 Tonnes) ,2016,2.6
SALMON (Wild),Sockeye ,LANDED VALUE ($ Millions) ,2014,102.4
SALMON (Wild),Sockeye ,LANDED VALUE ($ Millions) ,2015,20.1
SALMON (Wild),Sockeye ,LANDED VALUE ($ Millions) ,2016,18.3
SALMON (Wild),Sockeye ,WHOLESALE VALUE ($ Millions),2014,209.2
SALMON (Wild),Sockeye ,WHOLESALE VALUE ($ Millions),2015,91.3
SALMON (Wild),Sockeye ,WHOLESALE VALUE ($ Millions),2016,80.1
SALMON (Farmed),Atlantic ,HARVEST (000 Tonnes) ,2014,64.1
SALMON (Farmed),Atlantic ,HARVEST (000 Tonnes) ,2015,89.8
SALMON (Farmed),Atlantic ,HARVEST (000 Tonnes) ,2016,90.5
SALMON (Farmed),Atlantic ,LANDED VALUE ($ Millions) ,2014,364.5
SALMON (Farmed),Atlantic ,LANDED VALUE ($ Millions) ,2015,441.6
SALMON (Farmed),Atlantic ,LANDED VALUE ($ Millions) ,2016,713.1
SALMON (Farmed),Atlantic ,WHOLESALE VALUE ($ Millions),2014,409.3
SALMON (Farmed),Atlantic ,WHOLESALE VALUE ($ Millions),2015,485.9
SALMON (Farmed),Atlantic ,WHOLESALE VALUE ($ Millions),2016,757.5
SALMON (Farmed),Pacific,HARVEST (000 Tonnes) ,2014,3.6
SALMON (Farmed),Pacific,HARVEST (000 Tonnes) ,2015,3.2
SALMON (Farmed),Pacific,HARVEST (000 Tonnes) ,2016,2.3
SALMON (Farmed),Pacific,LANDED VALUE ($ Millions) ,2014,34
SALMON (Farmed),Pacific,LANDED VALUE ($ Millions) ,2015,31.9
SALMON (Farmed),Pacific,LANDED VALUE ($ Millions) ,2016,30.2
SALMON (Farmed),Pacific,WHOLESALE VALUE ($ Millions),2014,46.3
SALMON (Farmed),Pacific,WHOLESALE VALUE ($ Millions),2015,45.5
SALMON (Farmed),Pacific,WHOLESALE VALUE ($ Millions),2016,39.1
