Area,Year,Amount
CC,2001,5742
CC,2002,3083
CC,2003,2300
CC,2004,2500
CC,2005,3850
CC,2006,3175
CC,2007,439
CC,2008,0
CC,2009,0
CC,2010,0
CC,2011,0
CC,2012,0
CC,2013,0
CC,2014,750
CC,2015,1400
CC,2016,215
CC,2017,0
CC,2018,0
CC,2019,0
HG(QCI),2001,0
HG(QCI),2002,500
HG(QCI),2003,0
HG(QCI),2004,0
HG(QCI),2005,0
HG(QCI),2006,0
HG(QCI),2007,0
HG(QCI),2008,0
HG(QCI),2009,0
HG(QCI),2010,0
HG(QCI),2011,0
HG(QCI),2012,0
HG(QCI),2013,0
HG(QCI),2014,1200
HG(QCI),2015,800
HG(QCI),2016,0
HG(QCI),2017,0
HG(QCI),2018,0
HG(QCI),2019,0
PR,2001,2804
PR,2002,4600
PR,2003,3800
PR,2004,4500
PR,2005,3641
PR,2006,4172
PR,2007,1067
PR,2008,1700
PR,2009,2000
PR,2010,1537
PR,2011,2346
PR,2012,1500
PR,2013,2100
PR,2014,2000
PR,2015,2000
PR,2016,2500
PR,2017,2500
PR,2018,2258
PR,2019,0
SOG,2001,15330
SOG,2002,17817
SOG,2003,18500
SOG,2004,17755
SOG,2005,18418
SOG,2006,17717
SOG,2007,10086
SOG,2008,10800
SOG,2009,9750
SOG,2010,8500
SOG,2011,13500
SOG,2012,11500
SOG,2013,13005
SOG,2014,13633
SOG,2015,29415
SOG,2016,19945
SOG,2017,28185
SOG,2018,21944
SOG,2019,21493
WCVI,2001,0
WCVI,2002,500
WCVI,2003,3200
WCVI,2004,4700
WCVI,2005,4588
WCVI,2006,0
WCVI,2007,0
WCVI,2008,0
WCVI,2009,0
WCVI,2010,0
WCVI,2011,0
WCVI,2012,0
WCVI,2013,0
WCVI,2014,2117
WCVI,2015,3000
WCVI,2016,0
WCVI,2017,0
WCVI,2018,0
WCVI,2019,0
