"SPECIES_GROUP","YEAR","DISTRICT","AREA","SPECIES","AMOUNT","VALUE","COUNT","PRICE","SIZE"
"Salmon","1996","FARNORTH","441(TAKU)","CHINOOK",27078,84044,3481,3.1037742817047,7.77879919563344
"Salmon","1996","FARNORTH","442(STIKINE)","CHINOOK",14627,45407,1941,3.10432761331784,7.53580628541989
"Salmon","1996","FRASERRIVER","29AB","CHINOOK",33275,105264,3999,3.16345604808415,8.32083020755189
"Salmon","1996","FRASERRIVER","29C","CHINOOK",3,1,2,0.333333333333333,1.5
"Salmon","1996","FRASERRIVER","29D","CHINOOK",39934,108986,4985,2.72915310261932,8.01083249749248
"Salmon","1996","NORTHCOAST","1","CHINOOK",100,402,9,4.02,11.1111111111111
"Salmon","1996","NORTHCOAST","2E","CHINOOK",13,34,3,2.61538461538462,4.33333333333333
"Salmon","1996","NORTHCOAST","3","CHINOOK",51423,149883,8432,2.91470742663789,6.09855313092979
"Salmon","1996","NORTHCOAST","4","CHINOOK",209040,700517,23741,3.35111461921163,8.80502085000632
"Salmon","1996","NORTHCOAST","5","CHINOOK",5371,15811,777,2.94377210947682,6.91248391248391
"Salmon","1996","NORTHCOAST","6","CHINOOK",1972,5482,427,2.77991886409736,4.61826697892272
"Salmon","1996","NORTHCOAST","7","CHINOOK",127,334,35,2.62992125984252,3.62857142857143
"Salmon","1996","NORTHCOAST","8","CHINOOK",68463,250861,6680,3.6641835736091,10.2489520958084
"Salmon","1996","NORTHCOAST","10","CHINOOK",146,NA,30,NA,4.86666666666667
"Salmon","1996","SOUTHCOAST","11","CHINOOK",11,27,2,2.45454545454545,5.5
"Salmon","1996","SOUTHCOAST","12","CHINOOK",1369,3895,293,2.84514243973703,4.67235494880546
"Salmon","1996","SOUTHCOAST","13","CHINOOK",822,3749,258,4.56082725060827,3.18604651162791
"Salmon","1996","SOUTHCOAST","20","CHINOOK",2258,5814,608,2.5748449955713,3.71381578947368
"Salmon","1996","SOUTHCOAST","26","CHINOOK",38,145,3,3.81578947368421,12.6666666666667
"Salmon","1996","FARNORTH","442(STIKINE)","CHUM",1012,877,235,0.866600790513834,4.3063829787234
"Salmon","1996","FRASERRIVER","29AB","CHUM",6196,10588,1374,1.7088444157521,4.50946142649199
