Fishery,License Type,Fee,Year,Value (thousand $),Value,Source
Gillnet roe herring,HG,Full Fee,1998,100,100,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,1999,145,145,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2000,150,150,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2001,-,,
Gillnet roe herring,HG,Full Fee,2002,150,150,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2003,-,,
Gillnet roe herring,HG,Full Fee,2004,155,155,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2005,145,145,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2006,40,40,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2007,35,35,"Nelson, Stuart, 2010. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2008,50,50,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2009,50,50,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2010,60,60,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2011,50,50,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2012,35,35,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2013,45,45,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2014,40,40,"Nelson, Stuart, 2014. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Full Fee,2015,25,25,"Nelson, Stuart, 2015. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,1998,75,75,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,1999,120,120,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2000,125,125,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
Gillnet roe herring,HG,Reduced Fee,2001,-,,
Gillnet roe herring,HG,Reduced Fee,2002,115,115,"Nelson, Stuart, 2006. PACIFIC FLEET LICENCE, QUOTA AND VESSEL VALUATION"
