CTL,RES,NAICS,%,COMMENT,LEVEL,CORPORATION NAME
CAN,CAN,[99],0,,1,THE JIM PATTISON GROUP
CAN,CAN,[51A],0.01,,5,JIM PATTISON BROADCAST GROUP LIMITED PARTNERSHIP
CAN,CAN,[721],0.01,,4,RIPLEY'S NIAGARA WATER PARK RESORT LIMITED PARTNERSHIP
CAN,CAN,[71],0.01,R,5,RIPLEY'S AQUARIUM OF CANADA LP
CAN,CAN,[54],0.1,R,5,PATTISON OUTDOOR ADVERTISING LP
CAN,CAN,[415],1,,5,JIM PATTISON DEALERSHIPS GP
CAN,CAN,[41B],11.11,D,5,UNITED GROCERS INC
CAN,CAN,[445],24.43,,7,BUY-LOW FOODS LIMITED PARTNERSHIP
CAN,CAN,[71],27,,5,RIPLEY'S AQUARIUM OF CANADA LP
CAN,CAN,[523A],30,D,4,957855 ALBERTA LTD.
CAN,CAN,[56],30.77,D,5,NORTHSHORE AUTO MALL LTD
CAN,CAN,[4G],39.6,,5,PROLOGIX DISTRIBUTION SERVICES GENERAL PARTNERSHIP
CAN,CAN,[55],44.24,D,4,CANFOR CORPORATION
CAN,CAN,[51A],48.09,D,6,BEAR CREEK BROADCASTING LIMITED PARTNERSHIP
CAN,CAN,[322],49.99,D,4,GREAT PACIFIC ENTERPRISES LIMITED PARTNERSHIP
CAN,CAN,[54],50,D,5,KAFER GP
CAN,CAN,[99],50,,5,ONE-STOP PATTISON IC LTD.
CAN,CAN,[99],50,R,5,ONE-STOP PATTISON IC LTD.
CAN,CAN,[523A],50,D,4,RAMSAY FISHING CO LTD
CAN,CAN,[99],50,D,5,0704174 B.C. LTD
CAN,CAN,[55],50,D,4,461847 B.C. LTD
CAN,CAN,[23],50,D,4,525618 B.C. LTD.
CAN,CAN,[4G],60.4,R,4,PROLOGIX DISTRIBUTION SERVICES GENERAL PARTNERSHIP
CAN,CAN,[41A],67.08,,5,"SANDERLING FISHING COMPANY, INCORPORATED"
CAN,CAN,[71],72.99,R,4,RIPLEY'S AQUARIUM OF CANADA LP
CAN,CAN,[53A],75,,4,LOCATION PARK AVENUE - JIM PATTISON INC.
CAN,CAN,[445],75.41,R,5,BUY-LOW FOODS LIMITED PARTNERSHIP
