Year,Area,Stat_Area,Species,Measure,Value
2009,NorthCentral,1,Chinook Salmon,Pieces,19500
2009,NorthCentral,2E,Chinook Salmon,Pieces,500
2009,NorthCentral,2W,Chinook Salmon,Pieces,14000
2009,NorthCentral,3,Chinook Salmon,Pieces,0
2009,NorthCentral,4,Chinook Salmon,Pieces,9177
2009,NorthCentral,5,Chinook Salmon,Pieces,0
2009,NorthCentral,6,Chinook Salmon,Pieces,0
2009,NorthCentral,7,Chinook Salmon,Pieces,1727
2009,NorthCentral,8,Chinook Salmon,Pieces,509
2009,NorthCentral,9,Chinook Salmon,Pieces,1003
2009,NorthCentral,10,Chinook Salmon,Pieces,0
2009,Johnstone Strait,11,Chinook Salmon,Pieces,2320
2009,Johnstone Strait,12,Chinook Salmon,Pieces,8454
2009,Johnstone Strait,13,Chinook Salmon,Pieces,0
2009,Strait of Georgia,13,Chinook Salmon,Pieces,8780
2009,Strait of Georgia,14,Chinook Salmon,Pieces,3279
2009,Strait of Georgia,15,Chinook Salmon,Pieces,194
2009,Strait of Georgia,16,Chinook Salmon,Pieces,155
2009,Strait of Georgia,17,Chinook Salmon,Pieces,4005
2009,Strait of Georgia,18,Chinook Salmon,Pieces,306
2009,Strait of Georgia,19,Chinook Salmon,Pieces,2712
2009,Strait of Georgia,28,Chinook Salmon,Pieces,437
2009,Strait of Georgia,29,Chinook Salmon,Pieces,719
2009,Juan de Fuca Strait,20,Chinook Salmon,Pieces,28558
2009,WCVI,21,Chinook Salmon,Pieces,764
2009,WCVI,23A,Chinook Salmon,Pieces,0
2009,WCVI,23B,Chinook Salmon,Pieces,22455
2009,WCVI,24,Chinook Salmon,Pieces,112
2009,WCVI,25,Chinook Salmon,Pieces,8814
2009,WCVI,26,Chinook Salmon,Pieces,331
2009,WCVI,27,Chinook Salmon,Pieces,1715
2009,WCVI,121,Chinook Salmon,Pieces,6426
2009,WCVI,123,Chinook Salmon,Pieces,27493
2009,WCVI,124,Chinook Salmon,Pieces,9478
2009,WCVI,125,Chinook Salmon,Pieces,5693
2009,WCVI,126,Chinook Salmon,Pieces,4269
2009,WCVI,127,Chinook Salmon,Pieces,4500
2009,NorthCentral,1,Coho Salmon,Pieces,36500
2009,NorthCentral,2E,Coho Salmon,Pieces,3800
2009,NorthCentral,2W,Coho Salmon,Pieces,16700
2009,NorthCentral,3,Coho Salmon,Pieces,0
2009,NorthCentral,4,Coho Salmon,Pieces,40324
2009,NorthCentral,5,Coho Salmon,Pieces,0
2009,NorthCentral,6,Coho Salmon,Pieces,0
2009,NorthCentral,7,Coho Salmon,Pieces,7020
2009,NorthCentral,8,Coho Salmon,Pieces,5140
2009,NorthCentral,9,Coho Salmon,Pieces,9106
2009,NorthCentral,10,Coho Salmon,Pieces,0
2009,Johnstone Strait,11,Coho Salmon,Pieces,1150
2009,Johnstone Strait,12,Coho Salmon,Pieces,7412
2009,Johnstone Strait,13,Coho Salmon,Pieces,0
2009,Strait of Georgia,13,Coho Salmon,Pieces,1464
2009,Strait of Georgia,14,Coho Salmon,Pieces,143
2009,Strait of Georgia,19,Coho Salmon,Pieces,145
2009,Strait of Georgia,28,Coho Salmon,Pieces,309
2009,Strait of Georgia,29,Coho Salmon,Pieces,51
2009,Juan de Fuca Strait,20,Coho Salmon,Pieces,12084
2009,WCVI,21,Coho Salmon,Pieces,294
2009,WCVI,23A,Coho Salmon,Pieces,0
2009,WCVI,23B,Coho Salmon,Pieces,15302
2009,WCVI,24,Coho Salmon,Pieces,2452
2009,WCVI,25,Coho Salmon,Pieces,7901
2009,WCVI,26,Coho Salmon,Pieces,633
2009,WCVI,27,Coho Salmon,Pieces,13502
2009,WCVI,121,Coho Salmon,Pieces,7228
2009,WCVI,123,Coho Salmon,Pieces,17819
2009,WCVI,124,Coho Salmon,Pieces,5373
2009,WCVI,125,Coho Salmon,Pieces,2253
2009,WCVI,126,Coho Salmon,Pieces,2275
2009,WCVI,127,Coho Salmon,Pieces,1402
2009,NorthCentral,1,Pink Salmon,Pieces,1400
2009,NorthCentral,2E,Pink Salmon,Pieces,300
2009,NorthCentral,2W,Pink Salmon,Pieces,300
2009,NorthCentral,3,Pink Salmon,Pieces,0
2009,NorthCentral,4,Pink Salmon,Pieces,0
2009,NorthCentral,5,Pink Salmon,Pieces,0
2009,NorthCentral,6,Pink Salmon,Pieces,0
2009,NorthCentral,7,Pink Salmon,Pieces,18
2009,NorthCentral,8,Pink Salmon,Pieces,786
2009,NorthCentral,9,Pink Salmon,Pieces,969
2009,NorthCentral,10,Pink Salmon,Pieces,0
