Year,Month,gear_type,GEAR_NME,COMMON_NME,Weight(LBS),Weight(kg),Value($)
1996,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,49013.98,22232.62,67254.21
1996,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON (JACKS),4095,1857.35,1125.15
1996,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1980367.26,898288.69,703124.13
1996,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,289026.88,131101.96,219233.62
1996,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,4443321,2015477.23,1177482.64
1996,7,seine,"SEINE, PURSE, SALMON",RAINBOW TROUT (aka Steelhead),489,221.8,354.58
1996,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,7185266.28,3259215.31,16217642.35
1996,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,14823.1,6723.79,20267.84
1996,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON (JACKS),1410,639.47,386.13
1996,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1526149.12,692256.66,550193.15
1996,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,267288.98,121241.49,203710
1996,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,7934495.44,3599063.75,2103085.85
1996,8,seine,"SEINE, PURSE, SALMON",RAINBOW TROUT (aka Steelhead),56,25.4,40.61
1996,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,2749534.78,1247180.69,6203700.14
1996,9,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,62,28.13,81.23
1996,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1714934,777889.01,608802.03
1996,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,21033.72,9540.84,15941.05
1996,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,901923,409109.56,239009.85
1996,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,318.22,144.34,725.44
1996,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1423154,645538.43,505219.87
1996,10,seine,"SEINE, PURSE, SALMON",COHO SALMON,148,67.13,111.75
1996,11,seine,"SEINE, PURSE, SALMON",CHUM SALMON,627174,284484.25,222646.86
1997,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,33887.34,15371.24,41381
1997,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON (JACKS),738,334.66,182.34
1997,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1239926.56,562427.02,421994.76
1997,7,seine,"SEINE, PURSE, SALMON",COHO SALMON,12452.92,5648.57,8470.58
1997,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,4005894.94,1817062.03,882553.3
1997,7,seine,"SEINE, PURSE, SALMON",RAINBOW TROUT (aka Steelhead),43,19.5,27.95
1997,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,4273917.84,1938636.37,6461037.78
1997,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,13018.92,5905.36,15446.31
1997,8,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON (JACKS),219,99.32,54.35
1997,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,851638.14,386300.78,289602.06
1997,8,seine,"SEINE, PURSE, SALMON",COHO SALMON,69701.98,31616.62,47430.78
1997,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,8904733.12,4039160.54,1961617.37
1997,8,seine,"SEINE, PURSE, SALMON",RAINBOW TROUT (aka Steelhead),257,116.57,167.05
1997,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,17206845.52,7804973.91,25999604.5
1997,9,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,348.2,157.95,407.69
1997,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,1070730,485679.87,364048.2
1997,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,8516.6,3863.11,5801.5
1997,9,seine,"SEINE, PURSE, SALMON",PINK SALMON,6639087.67,3011470.55,1460638.61
1997,9,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,3565349,1617231.6,5383676.99
1997,10,seine,"SEINE, PURSE, SALMON",CHUM SALMON,8158839,3700825.15,2774005.26
1997,10,seine,"SEINE, PURSE, SALMON",COHO SALMON,369,167.38,250.92
1997,11,seine,"SEINE, PURSE, SALMON",CHUM SALMON,357961,162370.05,121706.74
1998,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON,9281.78,4210.25,9805.35
1998,7,seine,"SEINE, PURSE, SALMON",CHINOOK SALMON (JACKS),72,32.65,24
1998,7,seine,"SEINE, PURSE, SALMON",CHUM SALMON,3724832,1689572.82,1080201.28
1998,7,seine,"SEINE, PURSE, SALMON",PINK SALMON,2975438,1349649.86,981894.54
1998,7,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,264381.62,119922.75,727206.66
1998,8,seine,"SEINE, PURSE, SALMON",CHUM SALMON,4163368,1888491.43,1207376.72
1998,8,seine,"SEINE, PURSE, SALMON",PINK SALMON,4679333.08,2122531.43,1544184.23
1998,8,seine,"SEINE, PURSE, SALMON",SOCKEYE SALMON,3277223.12,1486538.62,9012759.89
1998,9,seine,"SEINE, PURSE, SALMON",CHUM SALMON,721729,327374.09,209301.41
1998,9,seine,"SEINE, PURSE, SALMON",COHO SALMON,8523,3866,5539.95
